,precision,rounding_rank,oversampling
309,7.667341675094948e-11,75,1
310,4.0111697019056556e-11,75,2
311,7.09327388438774e-11,75,3
312,5.262484510538262e-11,75,5
313,3.055406075708538e-11,75,7
314,2.3171558531414808e-11,75,10
315,3.805589146040363e-11,80,0
316,8.332532956669982e-11,80,1
317,4.2208293911743344e-11,80,2
318,2.005447767214127e-11,80,3
319,2.8283502437911556e-11,80,5
320,3.638619579913417e-11,80,7
321,2.730891558951913e-11,80,10
322,2.247617574336555e-11,80,0
323,3.4089181868704344e-11,80,1
324,2.228326257132429e-11,80,2
325,3.066896105394207e-11,80,3
326,1.0526474062878414e-11,80,5
327,1.9152104525424042e-11,80,7
328,2.7862938725691588e-11,80,10
329,2.112110881527004e-11,80,0
330,2.510359205204943e-11,80,1
331,2.044465988259966e-11,80,2
332,6.998148045299149e-11,80,3
333,3.5888570930208317e-11,80,5
334,2.6361152490815713e-11,80,7
335,1.726807734178925e-11,80,10
336,3.723482902527692e-11,80,0
337,7.06142354980648e-11,80,1
338,3.52391899018198e-11,80,2
339,3.510911013549294e-11,80,3
340,4.74787971030673e-11,80,5
341,2.6939393753915527e-11,80,7
342,2.6914156239168895e-11,80,10
343,1.0674887638140593e-10,80,0
344,9.836164125125299e-11,80,1
345,3.7775985282901405e-11,80,2
346,8.544729396006872e-11,80,3
347,3.3849229818585384e-11,80,5
348,6.343188958217963e-11,80,7
349,2.6216920502125186e-11,80,10
