,precision,rounding_rank,kappa
250,7.389479576207705e-11,70,3.5
251,1.7983699518784532e-10,70,4.0
252,7.281912022649109e-09,70,1.0
253,9.271856190807361e-10,70,1.5
254,5.285950818651379e-10,70,2.0
255,1.8951764238734056e-10,70,2.5
256,1.7826408532073232e-10,70,3.0
257,1.5795514552720131e-10,70,3.5
258,3.015943398955881e-10,70,4.0
259,4.19862097505573e-09,70,1.0
260,8.236506539534903e-10,70,1.5
261,3.90141413440178e-10,70,2.0
262,5.024473693996303e-10,70,2.5
263,2.2004502317011833e-10,70,3.0
264,7.917490417898489e-11,70,3.5
265,2.023388458196796e-10,70,4.0
266,7.064058698583624e-10,70,1.0
267,4.1194002111134844e-10,70,1.5
268,2.3898974999723907e-10,70,2.0
269,2.51043906709593e-10,70,2.5
270,2.4259017233012334e-10,70,3.0
271,1.2302304319576068e-10,70,3.5
272,3.362402144536932e-11,70,4.0
273,1.3811535364292548e-09,70,1.0
274,2.5820412079915733e-10,70,1.5
275,2.698647576393705e-10,70,2.0
276,2.2805441216296362e-10,70,2.5
277,1.5945991425333686e-10,70,3.0
278,1.096276205821597e-10,70,3.5
279,7.150660127959972e-11,70,4.0
280,1.7805474464926333e-09,75,1.0
281,4.900194162646749e-10,75,1.5
282,1.3847638051954103e-10,75,2.0
283,5.7892146013589684e-11,75,2.5
284,1.5816970649213626e-10,75,3.0
285,1.9539367378432025e-10,75,3.5
286,5.4141941451526014e-11,75,4.0
287,1.0436635425338198e-09,75,1.0
288,6.0415271551462e-10,75,1.5
289,3.5129862910518455e-11,75,2.0
290,1.5057545357143818e-10,75,2.5
291,8.723736306585287e-11,75,3.0
292,1.4197089712068782e-10,75,3.5
293,1.0083510759980966e-10,75,4.0
294,5.900769054170334e-10,75,1.0
295,2.8110215768798397e-10,75,1.5
296,1.604085459596967e-10,75,2.0
297,4.808855433748851e-11,75,2.5
298,9.503849358742599e-11,75,3.0
299,1.1110365292807237e-10,75,3.5
300,6.481847839653589e-11,75,4.0
301,2.6730637804253145e-09,75,1.0
302,4.113188433061068e-10,75,1.5
303,1.8903394234419748e-10,75,2.0
304,9.957296124193688e-11,75,2.5
305,8.135964007137995e-11,75,3.0
306,7.25621832685193e-11,75,3.5
307,1.9699750794063133e-11,75,4.0
308,1.3799890155149433e-09,75,1.0
309,6.0795072434592e-10,75,1.5
310,1.2556213764118454e-10,75,2.0
311,8.908880836697701e-11,75,2.5
312,1.1742690161410268e-10,75,3.0
313,2.719885077903966e-11,75,3.5
314,3.2005818898079327e-11,75,4.0
315,4.3271844318507726e-10,80,1.0
316,1.9462047753346954e-10,80,1.5
317,5.5904765145868377e-11,80,2.0
318,4.111209204749067e-11,80,2.5
319,3.314900581882652e-11,80,3.0
320,6.160053130320091e-11,80,3.5
321,3.866186576793124e-11,80,4.0
322,1.5061241655753054e-09,80,1.0
323,2.7447533433967756e-10,80,1.5
324,7.133285304774206e-11,80,2.0
325,4.392066922631722e-11,80,2.5
326,2.2436336825797825e-11,80,3.0
327,3.964425547375947e-11,80,3.5
328,2.514515953657056e-11,80,4.0
329,1.038066954713289e-09,80,1.0
330,6.498692637505122e-11,80,1.5
331,2.5775400515549943e-10,80,2.0
332,1.2922495672090314e-10,80,2.5
333,2.169438005611633e-11,80,3.0
334,2.7243095983310285e-11,80,3.5
335,1.6569534975610674e-11,80,4.0
336,2.5580823320191016e-10,80,1.0
337,8.911668324564837e-11,80,1.5
338,1.0562065799145624e-10,80,2.0
339,6.925654335272332e-11,80,2.5
340,4.376364061016726e-11,80,3.0
341,4.743178684900342e-11,80,3.5
342,4.205213208460491e-11,80,4.0
343,4.4081990638535674e-10,80,1.0
344,1.3429312354079146e-10,80,1.5
345,1.31058618684412e-10,80,2.0
346,1.6936494154882743e-10,80,2.5
347,1.0022426134027945e-10,80,3.0
348,7.640454343238353e-11,80,3.5
349,3.3010136435664085e-11,80,4.0
