,name,time,precision
0,round,35.73022937774658,3.1129142733753977e-06
1,multifuncrs,1.4274394512176514,0.0021366321737581644
2,tsrh(kappa=1.5),1.4649972915649414,0.0008284278329774977
3,tsrh(kappa=1),1.1238069534301758,3271.107616026159
4,rtoh,0.9058170318603516,8.008310001026878e-05
5,round,35.387338399887085,4.766424226534186e-07
6,multifuncrs,1.539318323135376,0.0010889999621018333
7,tsrh(kappa=1.5),1.610280990600586,0.00012903543792097745
8,tsrh(kappa=1),1.277756929397583,685.3811488219869
9,rtoh,1.0038790702819824,8.079366266729978e-06
10,round,35.58275818824768,3.698220848419607e-08
11,multifuncrs,1.7495267391204834,0.00016898144949762268
12,tsrh(kappa=1.5),1.9433817863464355,2.3401834743868014e-05
13,tsrh(kappa=1),1.5435736179351807,0.050838690959291034
14,rtoh,1.1329491138458252,7.476269199766704e-07
15,round,37.02760887145996,5.251967241897778e-09
16,multifuncrs,1.778075933456421,9.282372987725907e-05
17,tsrh(kappa=1.5),2.2655246257781982,1.8108536613639453e-06
18,tsrh(kappa=1),1.7649049758911133,0.06256503581013742
19,rtoh,1.2659001350402832,2.76748877072195e-07
20,round,34.71958136558533,7.29401636738295e-10
21,multifuncrs,1.9217190742492676,3.1062746731617023e-07
22,tsrh(kappa=1.5),2.516695499420166,1.6145866605699997e-07
23,tsrh(kappa=1),1.8545377254486084,0.00023161038715709687
24,rtoh,1.4467401504516602,3.6942518700419684e-08
25,round,35.63450789451599,9.91658471896624e-11
26,multifuncrs,2.5818095207214355,1.940550313883819e-08
27,tsrh(kappa=1.5),2.766796827316284,7.658589323288723e-08
28,tsrh(kappa=1),2.032341957092285,1.9141832362303387e-06
29,rtoh,1.6190814971923828,2.19567629851364e-09
30,round,37.06368088722229,6.7226000631060165e-12
31,multifuncrs,2.3486344814300537,4.660745340679866e-09
32,tsrh(kappa=1.5),3.112708806991577,5.967869953428292e-09
33,tsrh(kappa=1),2.316426992416382,1.268449517440316e-07
34,rtoh,1.7415668964385986,2.2650989825760731e-10
