,initial_rank,rounding_rank,mode_size,kernels,time,Потоки,kappa,retry
113,55,66,10,10,9.304890394210815,2,1,8
114,55,66,10,10,13.863351821899414,1,1,9
115,55,66,10,10,8.996205806732178,2,1,9
116,55,66,10,10,13.964487791061401,1,1,10
117,55,66,10,10,9.012041568756104,2,1,10
118,55,66,10,10,13.99508285522461,1,1,11
119,55,66,10,10,9.011650085449219,2,1,11
120,55,66,10,10,14.213320255279541,1,1,12
121,55,66,10,10,9.094481468200684,2,1,12
122,55,66,10,10,13.927180290222168,1,1,13
123,55,66,10,10,8.977700471878052,2,1,13
124,55,66,10,10,14.18360424041748,1,1,14
125,55,66,10,10,9.084489107131958,2,1,14
126,60,72,10,10,19.261270999908447,1,1,6
127,60,72,10,10,12.36264419555664,2,1,6
128,60,72,10,10,18.597334623336792,1,1,7
129,60,72,10,10,11.825316429138184,2,1,7
130,60,72,10,10,18.598642110824585,1,1,8
131,60,72,10,10,11.96872091293335,2,1,8
132,60,72,10,10,21.567248821258545,1,1,9
133,60,72,10,10,13.191213369369507,2,1,9
134,60,72,10,10,20.75209879875183,1,1,10
135,60,72,10,10,13.186064720153809,2,1,10
136,60,72,10,10,21.429842233657837,1,1,11
137,60,72,10,10,13.597864866256714,2,1,11
138,60,72,10,10,21.5453360080719,1,1,12
139,60,72,10,10,13.736817598342896,2,1,12
140,60,72,10,10,21.912072896957397,1,1,13
141,60,72,10,10,13.956445693969727,2,1,13
142,60,72,10,10,22.981505870819092,1,1,14
143,60,72,10,10,14.593012809753418,2,1,14
144,65,78,10,10,29.500170469284058,1,1,6
145,65,78,10,10,19.085518836975098,2,1,6
146,65,78,10,10,29.658909559249878,1,1,7
147,65,78,10,10,19.3595712184906,2,1,7
148,65,78,10,10,30.205896854400635,1,1,8
149,65,78,10,10,19.77932620048523,2,1,8
150,65,78,10,10,25.056108713150024,1,1,9
151,65,78,10,10,16.15946388244629,2,1,9
152,65,78,10,10,24.766957998275757,1,1,10
153,65,78,10,10,15.863689184188843,2,1,10
154,65,78,10,10,27.676295042037964,1,1,11
155,65,78,10,10,16.738452911376953,2,1,11
156,65,78,10,10,28.50150966644287,1,1,12
157,65,78,10,10,18.242241382598877,2,1,12
158,65,78,10,10,28.631479740142822,1,1,13
159,65,78,10,10,18.32917547225952,2,1,13
160,65,78,10,10,28.764583349227905,1,1,14
161,65,78,10,10,18.222915410995483,2,1,14
